day,date,spot_price,mark_price,theoretical_price,payoff,delta,gamma,theta,vega,net_position,hedge_position,funding_rate,funding_payment,cumulative_funding,cumulative_fees,cumulative_hedge_pnl,mtm_pnl,lp_equity,lp_pnl,daily_pnl
0,2024-01-01,3000.0,153.49710183489142,153.49710183489142,0.0,0.5291915354319067,0.0012324677797393622,-9.921126248965493,1.8890538826981809,0.0,0.0,153.49710183489142,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
1,2024-01-02,3045.406144506518,178.78211669965302,178.78211669965302,45.4061445065181,0.5841431301160196,0.0011808574299265943,-9.820832679977295,1.885469645579905,-30.661593728182975,-8.955379667363259,133.3759721931349,-4089.519872487332,-4089.519872487332,43.8345245906381,0.0,0.0,995954.3146521033,-4045.685347896694,-4045.685347896694
2,2024-01-03,3161.729365557984,254.199103685474,254.19910446488896,161.72936555798378,0.7074102977073226,0.000920823135968051,-8.341737956131208,1.7557306638608656,-73.4847545119686,-25.991936033130614,92.46973812749022,-6795.116006084643,-10884.635878571975,82.26671583522204,-1041.7186086465042,0.0,988155.9122286168,-11844.087771383258,-7798.402423486564
3,2024-01-04,2763.91947305235,61.61391146210769,61.613911914876006,0.0,0.26337649264186463,0.0009036492603106778,-6.143402624211141,1.4676628434226207,-178.79296541273578,-23.544932069722282,61.61391146210769,-11016.133940987984,-21900.76981955996,92.28632285334652,9298.130670706494,0.0,987489.6471739999,-12510.352826000119,-666.2650546168607
4,2024-01-05,2760.6571784394614,60.75949482168659,60.75949590802363,0.0,0.26044035244241703,0.0008964001965044195,-6.0795776890995175,1.4585646653363473,-363.20454879244045,-47.29656034809612,60.75949482168659,-22068.124901567302,-43968.89472112726,103.08793991295617,9374.94117575837,0.0,965509.1343945441,-34490.86560545594,-21980.51277945582
5,2024-01-06,2884.7895147168792,100.70467221067508,100.70467586831472,0.0,0.3886917860792728,0.001160215096120987,-8.604746821829915,1.7598055253596163,-202.27269172180257,-39.31086691020479,100.70467221067508,-20369.805117015057,-64338.69983814232,120.9403661165602,3503.908641863316,0.0,939286.1491698376,-60713.85083016244,-26222.9852247065
6,2024-01-07,2893.4375535368154,104.10966177225168,104.10966387810588,0.0,0.3987877639297281,0.0011744693179254167,-8.764194481119087,1.775768755057027,-401.58891445503485,-80.07437260724511,104.10966177225168,-41809.286055399396,-106147.98589354171,147.6239213574384,3163.9467387785276,0.0,897163.5847665942,-102836.41523340574,-42122.564403243305
7,2024-01-08,2961.426871729932,134.00547476615503,134.00548014766656,0.0,0.4813910454338809,0.0012401713431759822,-9.71237340967444,1.8673034349650213,-527.2446095049621,-126.905416884486,134.00547476615503,-70653.66421460846,-176801.65010815018,172.84901219102858,-2280.2552595296147,0.0,821090.9436445113,-178909.05635548878,-76072.64112208303
8,2024-01-09,3015.966019116842,162.10276093688753,162.10276948366868,15.966019116841835,0.5487712013300833,0.0012192537960745186,-9.92760258887336,1.8913335109999556,-363.58938240559894,-99.7636910867918,146.1367418200457,-53133.76770511689,-229935.41781326706,197.53661765457474,-9201.568495189844,0.0,761060.5503091977,-238939.4496908023,-60030.393335313536
9,2024-01-10,3151.4277503608687,246.96094532526996,246.96095430450802,151.42775036086869,0.6977909037080006,0.0009467306613224686,-8.510653873371492,1.772609185449396,-317.0156304403948,-110.6053116272823,95.53319496440128,-30285.51602962482,-260220.93384289189,249.95309958604298,-22715.730805100924,0.0,717313.2884515933,-282686.71154840675,-43747.26185760443
10,2024-01-11,3121.1611741465103,226.28641762259164,226.286424796225,121.16117414651035,0.6679913271660771,0.0010220331302135826,-8.983404508576362,1.8171334004213615,-105.98955798099598,-35.400052750735696,105.1252434760813,-11142.178088674438,-271363.1119315663,297.5328876820636,-19368.08671102093,0.0,709566.3342450948,-290433.66575490515,-7746.954206498398
11,2024-01-12,3318.3945050613243,374.7938881218382,374.7938920942621,318.39450506132425,0.8230670436794456,0.0005758784426051183,-5.882409114036093,1.4369592802468396,117.36268615742716,48.29867956693609,56.39938306051397,6619.183093603642,-264743.9288379627,378.3026931484284,-26350.15702960865,0.0,709284.2168255771,-290715.7831744229,-282.11741951777367
12,2024-01-13,3246.446705575896,317.18365775498046,317.1836540324279,246.44670557589598,0.7766642386010459,0.0007188543511978566,-6.944187493849164,1.5934291065829984,-77.1431745525999,-29.9571724635813,70.73695217908448,-5456.873049270012,-270200.8018872327,454.19930379671945,-29825.14074250152,0.0,700428.2566740625,-299571.7433259375,-8855.960151514562
13,2024-01-14,3333.599413873299,387.37408080934796,387.3740837976746,333.599413873299,0.8316195619282756,0.0005492901903207403,-5.678326626092591,1.4030250434954152,1.2498200916444102,0.5196874185512392,53.77466693604896,67.20865915814647,-270133.59322807455,532.8590796256369,-32435.989455635015,0.0,697963.276395916,-302036.72360408393,-2464.980278146453
14,2024-01-15,3402.525945151134,445.91086257454924,445.9108625188184,402.5259451511338,0.8656849716810918,0.00044282068750799456,-4.836979100708495,1.2490664713396147,-10.573917402234015,-4.576840693455578,43.38491742341546,-458.7485333379591,-270592.3417614125,631.2816074348029,-32400.169204525548,0.0,697638.7706414968,-302361.22935850325,-324.5057544193114
15,2024-01-16,3565.926919928486,592.3770243698783,592.3770249962529,565.9269199284859,0.922158290998172,0.0002630411477514017,-3.3017279234269963,0.9078158997675129,12.507599928022728,5.7669934870571495,26.450104441392455,330.8273244073498,-270261.51443700516,774.0045002627953,-33148.029435236844,0.0,697364.4606280208,-302635.5393719792,-274.3100134759443
16,2024-01-17,3677.1285331816744,696.3693668701775,696.3693659991866,677.1285331816744,0.9466977532672277,0.00018289627724034084,-2.5495754228864724,0.7102890901621035,16.5481469458014,7.833046767163061,19.24083368850313,318.400143237086,-269943.11429376807,887.4681975398805,-32506.730455855457,0.0,698437.6234479164,-301562.37655208365,1073.162819895544
17,2024-01-18,3654.8513884841113,675.3261587627508,675.3261576452111,654.8513884841113,0.942470089470796,0.00019681693963922585,-2.6842878160184767,0.747253304767036,301.9248338000046,142.27756256247278,20.474770278639426,6181.841613471508,-263761.27268029656,1026.2026868095506,-32681.228372110254,0.0,704583.7016344027,-295416.29836559726,6146.078186486382
18,2024-01-19,3504.9321835955056,536.6532881881853,536.6532719852903,504.93218359550565,0.9044280837254158,0.0003200844962421767,-3.808042002734427,1.029199287180086,262.810435566138,118.84656931106203,31.721104592679694,8336.637314641179,-255424.63536565538,1147.2684352935967,-54011.36742496503,0.0,691711.2656446733,-308288.7343553268,-12872.435989729536
19,2024-01-20,3637.488053760712,658.9919921438354,658.9919748248386,637.4880537607119,0.938953397008205,0.0002083580910915219,-2.7945610149931834,0.7769832850282601,380.01480782870635,178.40809736209204,21.503938383123568,8171.815012223058,-247252.82035343233,1285.1701221228504,-38257.55701378771,0.0,715774.7927549029,-284225.20724509715,24063.527110229654
20,2024-01-21,3427.860640396497,467.98115699202697,467.98113920805065,427.8606403964968,0.876468320098982,0.00040887791960171567,-4.55954079425424,1.1932425443198067,133.3749686684031,58.44946736602482,40.12051659553015,5351.072643888969,-241901.74770954336,1381.659097267061,-75656.7849870341,0.0,683823.1264006896,-316176.8735993104,-31951.66635421326
21,2024-01-22,3313.693726980312,370.93123527835314,370.931230331059,313.693726980312,0.8203401143414792,0.0005843445976899009,-5.9469322457480285,1.447417967315658,-71.84700781310679,-29.469491302248585,57.23750829804112,-4112.343705892126,-246014.09141543548,1457.3960812730636,-82329.78026703317,0.0,673113.5243988044,-326886.4756011956,-10709.602001885185
22,2024-01-23,3332.1228582400786,386.14674817837783,386.14675095272673,332.1228582400786,0.8308066382921567,0.0005518197027526621,-5.6978384400235065,1.4063259480167658,-232.71293269206106,-96.6697246485001,54.02388993829925,-12572.057862974762,-258586.14927841024,1533.2768905535313,-82872.87739040083,0.0,660074.2502217424,-339925.74977825757,-13039.274177061976
23,2024-01-24,3480.552916959929,514.7016067768146,514.7016187545869,480.552916959929,0.8963127336020648,0.00034598998552308805,-4.0315038306012605,1.0799580609578112,-203.6195702164082,-91.2534067977732,34.14868981688562,-6953.341543967661,-265539.4908223779,1645.587568109872,-97221.57029640945,0.0,638884.5264493225,-361115.47355067753,-21189.723772419966
24,2024-01-25,3600.493357977408,624.4041779630953,624.4041906771866,600.4933579774079,0.9307596298888704,0.0002351220658800718,-3.045767112758684,0.8429778480710348,-287.5754440178747,-133.83180691960231,23.910819985687453,-6876.164674215543,-272415.65549659345,1795.2149385288321,-108166.54415208177,0.0,621213.0152898536,-378786.9847101464,-17671.51115946885
25,2024-01-26,3652.1163267131674,672.7491627479113,672.7491820945258,652.1163267131674,0.9419293565925311,0.00019859375039270782,-2.7013459643831523,0.7518830735563957,-555.2190012697955,-261.4885383170031,20.632836034743946,-11455.742616573989,-283871.39811316744,1985.0118734551043,-115075.33933654259,0.0,603038.274423745,-396961.72557625495,-18174.740866108565
26,2024-01-27,3392.4037849718497,437.1711638536104,437.1711881261854,392.40378497184975,0.8611306853524998,0.0004571158043598501,-4.952388988967158,1.2715446372484938,-270.59735624060045,-116.50984341702139,44.767378881760635,-12113.93437122571,-295985.33248439315,2076.6107795381536,-47163.486414011786,0.0,658927.7918811332,-341072.2081188668,55889.51745738817
27,2024-01-28,3311.826614859819,369.4005738789846,369.40058387486675,311.8266148598191,0.8192459104797336,0.0005877401048874454,-5.9727492491429635,1.4515667135439707,-563.42980609979,-230.7937822448211,57.5739590191655,-32438.884566565685,-328424.21705095883,2142.743348209736,-37775.452941272466,0.0,635943.0733559784,-364056.9266440216,-22984.718525154807
28,2024-01-29,3265.130415523157,331.81772251138653,331.8177412069871,265.1304155231569,0.7897190697447906,0.000678928364682349,-6.653507517339808,1.553782082119784,-530.6791614571389,-209.5437268594386,66.68730698822964,-35389.564152348496,-363813.7812033073,2210.7535754218698,-26998.2604799061,0.0,611398.7118922084,-388601.28810779157,-24544.36146376998
29,2024-01-30,3124.679148932965,228.64269599365628,228.64270812724834,124.67914893296484,0.6715716850513109,0.0010134230366779314,-8.930922942291016,1.8123835439990497,-940.0389120692041,-315.65175809605824,103.96354706069144,-97729.77967378788,-461543.5608770952,2254.3708868889503,2432.4213635313863,0.0,543143.2313733251,-456856.7686266749,-68255.48051888333
30,2024-01-31,2869.6458579643286,94.95047167285382,94.95048059856848,0.0,0.3713250361276981,0.0011329281666786664,-8.312260980572006,1.7298366781588808,-928.5815018831534,-172.40277986713704,94.95047167285382,-88169.25159049244,-549712.8124675876,2270.022778482694,82934.12803080499,0.0,535491.3383416999,-464508.6616583,-7651.893031625135
31,2024-02-01,2892.312335365324,103.66167414321559,103.66168376904778,0.0,0.3974672375213336,0.0011726749016196859,-8.743807327744486,1.7737412173274953,-977.6189152172711,-194.28574479000582,103.66167414321559,-101341.61342549673,-651054.4258930844,2285.4235243466937,79026.36431707774,0.0,430257.36194833997,-569742.63805166,-105233.97639336
32,2024-02-02,2996.8580879014507,151.84050018323327,151.84051502744921,0.0,0.5253161482405573,0.0012343917777732337,-9.914325090597636,1.8881429038066355,-1154.2117988378113,-303.163048209642,151.84050018323327,-175256.0968529227,-826310.5227460071,2313.309687576655,58714.61492096463,0.0,234717.4018625341,-765282.5981374659,-195539.96008580585
33,2024-02-03,2943.6668469675183,125.65120653035997,125.65122103317215,0.0,0.459426384308416,0.0012321387433480448,-9.528439622677048,1.84966503860917,-1317.989277939307,-302.75952426045785,125.65120653035997,-165606.94296715187,-991917.465713159,2331.2777644835646,74840.2336605491,0.0,85254.0457118738,-914745.9542881262,-149463.35615066031
34,2024-02-04,3072.7091701593367,195.16533236576035,195.16535808834527,72.70917015933674,0.6157363782537392,0.001131480928006795,-9.598291642192926,1.8690256923960995,-1298.5312423343723,-399.7764621021475,122.45616220642361,-159013.15244140662,-1150930.6181545656,2371.8675087381275,35771.44128152972,0.0,-112787.3093642979,-1112787.309364298,-198041.3550761717
35,2024-02-05,2880.4219027883573,99.01805036478288,99.01806322258774,0.0,0.3836408888938613,0.001152631201718002,-8.521974918250427,1.7514185903446755,-962.3540341860821,-184.59917855287097,99.01805036478288,-95290.42022578954,-1246221.038380355,2392.295587890479,112643.36473838956,0.0,-131185.37805407494,-1131185.378054075,-18398.06868977705
36,2024-02-06,2749.0803143682397,57.80390505185542,57.80391061463808,0.0,0.2502109867710143,0.0008708584648239816,-5.856357308959823,1.4259839281447977,-873.0362980187157,-109.22163680708807,57.80390505185542,-50464.90727749723,-1296685.9456578523,2403.2671953184995,136888.91407057256,0.0,-157393.76439196127,-1157393.7643919613,-26208.38633788633
37,2024-02-07,2767.9575289108693,62.68482727609321,62.68483274870664,0.0,0.2670436407614145,0.0009126494487222855,-6.222943532487147,1.4788694326533525,-645.797458984556,-86.22805232085305,62.68482727609321,-40481.70217178669,-1337167.647829639,2417.082844623148,134827.11379986798,0.0,-199923.45118514798,-1199923.451185148,-42529.6867931867
38,2024-02-08,2708.090764126312,48.2545996283633,48.25460274463328,0.0,0.21632590325021853,0.0007833073221920849,-5.109988501313335,1.3078729362247004,-558.2490781869917,-60.38186803870142,48.2545996283633,-26938.085760816233,-1364105.7335904553,2424.013156317536,139989.30832599098,0.0,-221692.4121081466,-1221692.4121081466,-21768.96092299861
39,2024-02-09,2793.894081908559,69.92450944023827,69.92451334376779,0.0,0.2914691999395409,0.0009709314852802919,-6.746523913883869,1.5491702707805164,-590.6038754835984,-86.07141953419833,69.92450944023827,-41297.68626669422,-1405403.4198571495,2439.6910317602906,134808.34371438052,0.0,-268155.38511100877,-1268155.3851110088,-46462.973002862185
40,2024-02-10,2857.9979043397766,90.70164793694336,90.70165329381815,0.0,0.3582595622270378,0.001110247990732073,-8.078454710936553,1.7051650429336507,-702.094679500384,-125.76606625987,90.70164793694336,-63681.14443844487,-1469084.5642955943,2456.713866780879,129290.83672015746,0.0,-337337.01370865596,-1337337.013708656,-69181.62859764718
41,2024-02-11,2805.24488763892,73.29601541609581,73.29602056217041,0.0,0.3026351633922491,0.0009964850958903758,-6.98120512139736,1.578861081022279,-667.0434341588311,-100.93539934319242,73.29601541609581,-48891.62583331112,-1517976.1901289055,2470.9273668484666,135925.37611396544,0.0,-379579.8866480915,-1379579.8866480915,-42242.87293943553
42,2024-02-12,2640.29821921568,35.28434972880511,35.28435208242465,0.0,0.1678263791787567,0.0006499269631172532,-4.028034993841267,1.1091790047165477,-641.5274819221714,-53.832617217331666,35.28434972880511,-22635.88003278151,-1540612.070161687,2476.99454181137,152574.3339615943,0.0,-385560.7416582813,-1385560.7416582813,-5980.8550101898145
43,2024-02-13,2577.7112818713895,25.979428160635038,25.979429827286857,0.0,0.13067050952689876,0.0005393916042597982,-3.1847535647170298,0.930074414626334,-589.5801202969717,-38.52036736306778,25.979428160635038,-15316.954380193725,-1555929.0245418807,2480.7412741880407,155943.5526024546,0.0,-397504.7306652381,-1397504.730665238,-11943.989006956806
44,2024-02-14,2640.0423178444403,35.24142427929961,35.24142635706405,0.0,0.1676601229182971,0.0006494507147042559,-4.024294795316788,1.108432621295444,-628.3610916687728,-52.6755489331309,35.24142427929961,-22144.339832103113,-1578073.3643739838,2487.674175095054,153542.5381986521,0.0,-422043.1520002368,-1422043.1520002368,-24538.421334998682
45,2024-02-15,2729.157329726698,52.98891726516945,52.98892059478705,0.0,0.23329266049715033,0.0008276942416851737,-5.484816185731555,1.3690136785758684,-729.8518770659215,-85.13454308477397,52.98891726516945,-38674.06072967476,-1616747.4251036586,2500.383538117492,148848.35602957167,0.0,-465398.68553596945,-1465398.6855359694,-43355.533535732655
46,2024-02-16,2670.661910709182,40.68857321501265,40.68857618467602,0.0,0.18843309017669854,0.000707877346461092,-4.48978675642623,1.1981309723774642,-968.6081237215005,-91.25891096154814,40.68857321501265,-39411.28255869821,-1656158.7076623568,2510.3322592818236,153828.3368001803,0.0,-499820.03860289464,-1499820.0386028946,-34421.35306692519
47,2024-02-17,2452.133280999315,13.30305562147382,13.30305691001872,0.0,0.0751078233079865,0.0003535378745177745,-1.8871293418846593,0.6086340025397319,-1009.9045451902996,-37.92586606904275,13.30305562147382,-13434.816337045748,-1669593.5239994025,2512.987992475148,173771.02156142215,0.0,-493309.51444550534,-1493309.5144455053,6510.5241573893
48,2024-02-18,2148.3332564466873,1.8094205717395,1.8094207544737244,0.0,0.013784091627470376,9.073735551640234e-05,-0.3709612230850189,0.14152289653079558,-1083.0926104888138,-7.464723892006944,1.8094205717395,-1959.7700505175162,-1671553.29404992,2513.3289276808837,185292.900604377,0.0,-483747.06451786216,-1483747.0645178622,9562.449927643174
49,2024-02-19,2142.934552636914,1.736313789794916,1.7363139778537997,0.0,0.01330136284589991,8.810377118804082e-05,-0.3583735282333409,0.13703558296575413,-1185.9479485385207,-7.887361989930748,1.736313789794916,-2059.1777770263143,-1673612.4718269464,2513.660023387683,185333.2004376917,0.0,-485765.61136586685,-1485765.6113658668,-2018.5468480046839
50,2024-02-20,2043.761442375331,0.7796782562482327,0.7796783487140265,0.0,0.0066310839589407925,4.9291307065560194e-05,-0.18225410591841443,0.07246262100026253,-1126.7852836487536,-3.7359039097869005,0.7796782562482327,-878.5299851214513,-1674491.0018120678,2513.7900388721264,186115.4146579921,0.0,-485861.7971152037,-1485861.7971152037,-96.18574933684431
51,2024-02-21,1947.5672507069237,0.3291829018753821,0.3291829389672312,0.0,0.003108886287353914,2.591948545913747e-05,-0.0869766156219959,0.035726026137089396,-1068.9080441190224,-1.6615567804019609,0.3291829018753821,-351.8662518011406,-1674842.868063869,2513.844702500739,186474.78691474488,0.0,-485854.2364466232,-1485854.2364466232,7.560668580466881
52,2024-02-22,2031.1340179686792,0.699772673657247,0.699772748456519,0.0,0.006032742246405113,4.551667863326701e-05,-0.166211106478103,0.06638556828955006,-1057.6403487714251,-3.1902358067680074,0.699772673657247,-740.1078146274667,-1675582.9758784964,2514.02158332679,186335.93598598483,0.0,-486733.0183091848,-1486733.0183091848,-878.781862561591
53,2024-02-23,2075.3978026175014,1.0158200506954416,1.0158201581326802,0.0,0.008352970290987891,5.982875275368593e-05,-0.22816345430383345,0.08965169716079611,-1066.1051106757734,-4.452572158272546,1.0158200506954416,-1082.970947573427,-1676665.9468260698,2514.240323151363,186194.7240752551,0.0,-487956.98242766317,-1487956.9824276632,-1223.964118478354
54,2024-02-24,2013.5034023723056,0.6002271256295332,0.6002271896200606,0.0,0.005273963438513994,4.06314436606799e-05,-0.14579137756385407,0.05859259089531295,-952.1472083815648,-2.510794782543769,0.6002271256295332,-571.5045820630621,-1677237.451408133,2514.3801310175495,186470.31335853983,0.0,-488252.7579185753,-1488252.7579185753,-295.77549091214314
55,2024-02-25,2020.1602977742148,0.6362487592289813,0.6362488198092351,0.0,0.005550377341077841,4.242465790951199e-05,-0.15324020826127627,0.061443181664470006,-923.1419693411486,-2.561893134614543,0.6362487592289813,-587.3479325855151,-1677824.7993407184,2514.5256587554627,186453.5992602968,0.0,-488856.6744216662,-1488856.6744216662,-603.9165030908771
56,2024-02-26,2043.3044575458864,0.7766531142225944,0.7766531859187096,0.0,0.0066085907517602705,4.9150556866589206e-05,-0.18165190096672182,0.0722351995643011,-897.5105500293471,-2.9656399602656083,0.7766531142225944,-697.0543637280352,-1678521.8537044465,2514.667520563251,186394.3063962713,0.0,-489612.8797876118,-1489612.8797876118,-756.2053659455851
57,2024-02-27,2214.343751923005,2.9422997869681926,2.9423000510427264,0.0,0.020949064362282426,0.0001279297730173033,-0.5558959769767572,0.20585459079767665,-679.3627824795581,-7.116007327751769,2.9422997869681926,-1998.8889701636508,-1680520.74267461,2515.339713768547,185887.0654300909,0.0,-492118.33753075055,-1492118.3375307505,-2505.4577431387734
58,2024-02-28,2102.3217866418686,1.2636039404716488,1.2636040263162036,0.0,0.010099316256288644,7.010484613936266e-05,-0.274381537234001,0.10668543845893566,-555.707636075002,-2.806133581378001,1.2636039404716488,-702.1943586945999,-1681222.9370333047,2515.635412856181,186684.2145559006,0.0,-492023.08706454793,-1492023.087064548,95.25046620261855
59,2024-02-29,2125.0489224342114,1.5120510740865343,1.512051158112372,0.0,0.011800847211847158,7.979047338709656e-05,-0.31912550479511925,0.12294466773459306,-560.7613997673648,-3.308729800478108,1.5120510740865343,-847.8998768245801,-1682070.8369101293,2515.9379488731474,186620.4391769452,0.0,-492934.459784311,-1492934.459784311,-911.3727197630797
